"year";"topic";"mean";"std";"se"
1998;"profession, practic, develop, teacher, learn";0,181363636363636;0,102969648024922;0,0155232585133466
1998;"program, educ, turkei, turkish, develop";0,133846153846154;0,071278435621269;0,0139788513127391
1998;"project, develop, innov, learn, process";0,146181818181818;0,0905229847851405;0,0122061167783808
1998;"public, educ, market, privat, choic";0,117826086956522;0,0742205877918918;0,015476062374398
1998;"pupil, school, class, teacher, primari";0,155119047619048;0,0937375732823566;0,0102276077387588
1998;"qualiti, evalu, improv, process, system";0,135;0,0834962371704355;0,0135448782528593
1998;"question, make, import, reason, need";0,115957446808511;0,0583341042193898;0,00850890361599859
1998;"reflect, experi, action, process, person";0,125789473684211;0,0637107865866164;0,0146162568602393
1998;"represent, visual, imag, metaphor, map";0,102173913043478;0,0541006235671617;0,0112807598232291
1998;"right, citizenship, particip, educ, democrat";0,108125;0,0925360290193321;0,023134007254833
1998;"school, educ, risk, success, rate";0,130384615384615;0,0749122563660057;0,0146915021929819
1998;"school, educ, secondari, transit, upper";0,120857142857143;0,0722484043614329;0,0122122092686823
1998;"school, primari, educ, teacher, secondari";0,133207547169811;0,0662969306896475;0,00910658378759713
1998;"school, teacher, student, improv, develop";0,130588235294118;0,0525513754227568;0,00735866443927654
1998;"social, capit, cultur, class, bourdieu";0,0875;0,0379072093636439;0,00773777670948168
1998;"social, educ, justic, equal, inequ";0,154285714285714;0,0835805855789147;0,0182387790497196
1998;"space, practic, materi, place, relat";0,088;0,0270449361513125;0,00698297248755176
1998;"special, need, educ, children, support";0,161333333333333;0,103847810839189;0,0189599295147177
1998;"strong, question, framework, theoret, object";0,06;NA;NA
1998;"student, achiev, pisa, perform, grade";0,193783783783784;0,112801481258777;0,0185444492854871
1998;"student, cours, univers, year, colleg";0,13027027027027;0,0780842311042834;0,0128369685180617
1998;"student, learn, experi, engag, academ";0,108214285714286;0,062304721385127;0,0117744855921581
1998;"student, school, achiev, educ, background";0,129032258064516;0,0796808148682261;0,0143110968201473
1998;"sup, educ, histori, centuri, histor";0,120625;0,0544632903890318;0,0136158225972579
1998;"sustain, develop, environment, educ, esd";0,0930769230769231;0,0593555129964936;0,0164622573531021
1998;"swedish, school, sweden, educ, relat";0,104615384615385;0,0619180599974366;0,0121431306219515
1998;"teacher, profession, develop, teach, profess";0,144864864864865;0,07201935008584;0,0118399082205021
1998;"teacher, servic, pre, educ, teach";0,122162162162162;0,0677468791874551;0,011137518331516
1998;"teacher, teach, student, educ, practic";0,123472222222222;0,0623294229397823;0,0073455929380274
1998;"technologi, ict, comput, learn, integr";0,129583333333333;0,0684917746040048;0,0139808249464606
1998;"train, programm, intervent, develop, support";0,123571428571429;0,0776113339903591;0,0119756888297392
1998;"univers, academ, higher, teach, institut";0,102777777777778;0,0419811660230346;0,00989505572566868
1998;"urban, rural, school, local, area";0,0995454545454545;0,0620658078346242;0,0132324746915315
1998;"valu, ethic, moral, respons, person";0,137826086956522;0,0928320341329695;0,0193568172029625
1998;"vocat, train, vet, qualif, workplac";0,159411764705882;0,0934179651942487;0,0160210488577058
1998;"world, possibl, mean, becom, subject";0,102352941176471;0,0564058299031122;0,0136804232112444
1998;"write, text, textbook, written, book";0,118965517241379;0,0613156253440349;0,011386025783798
1998;"young, peopl, youth, adult, social";0,148;0,119057703833499;0,0266221119016742
1999;"align, chines, left, china, dutch";0,0866666666666667;0,0233809038890002;0,00954521404218424
1999;"art, creativ, artist, educ, museum";0,13;0,113724814061547;0,0315415883378088
1999;"attitud, toward, factor, percept, behavior";0,105142857142857;0,058579831330036;0,00990179873797175
1999;"career, employ, job, graduat, market";0,144137931034483;0,0860447243082386;0,0159781041787696
1999;"children, earli, children', child, childhood";0,129714285714286;0,0743396701272063;0,0125656977006246
1999;"classroom, teacher, teach, student, instruct";0,125333333333333;0,0744975506810208;0,0136013296622932
1999;"commun, network, partnership, collabor, social";0,1196875;0,0583915799829327;0,0103222705425321
1999;"compet, develop, skill, knowledg, learn";0,108181818181818;0,0602088716478579;0,0128365745662863
1999;"concept, relat, understand, term, conceptu";0,125909090909091;0,0666932646025098;0,0100543879422916
1999;"confer, doctor, ecer, network, meet";0,1;0,048896923123128;0,0101957132742129
1999;"countri, compar, european, nation, symposium";0,146470588235294;0,0962460083205899;0,0134771368618516
1999;"cultur, divers, intercultur, ethnic, multicultur";0,1188;0,0724177694584232;0,0144835538916846
1999;"curriculum, school, curricula, reform, subject";0,123125;0,0702271659595464;0,0124145263183771
1999;"didact, music, teach, game, learn";0,119;0,0814384566542258;0,0257531012156249
1999;"digit, media, technologi, inform, mobil";0,102857142857143;0,0457217255850672;0,0172811879158324
1999;"discours, power, practic, subject, construct";0,121333333333333;0,0593489582939306;0,010835587740673
